2025-06-03 23:23:46.897 | ERROR    | chatbot_app.py:28 | GEMINI_API_KEY environment variable is not set. Please set it for Gemini API access.
2025-06-03 23:25:33.506 | WARNING  | chatbot_app.py:38 | MCP_SERVER_BASE_URL is set to default localhost. Ensure this is correct for your deployment.
2025-06-03 23:25:33.507 | INFO     | before.py:40 | Starting call to 'chatbot_app.get_tool_definitions_from_mcp_server', this is the 1st time calling it.
2025-06-03 23:25:33.508 | INFO     | chatbot_app.py:46 | Attempting to load tool definitions from MCP Server at http://localhost:5001/tool_definitions...
2025-06-03 23:25:35.573 | INFO     | chatbot_app.py:49 | Successfully loaded tool definitions from MCP Server.
2025-06-03 23:28:21.699 | WARNING  | chatbot_app.py:38 | MCP_SERVER_BASE_URL is set to default localhost. Ensure this is correct for your deployment.
2025-06-03 23:28:21.700 | INFO     | before.py:40 | Starting call to 'chatbot_app.get_tool_definitions_from_mcp_server', this is the 1st time calling it.
2025-06-03 23:28:21.701 | INFO     | chatbot_app.py:46 | Attempting to load tool definitions from MCP Server at http://localhost:5001/tool_definitions...
2025-06-03 23:28:23.746 | INFO     | chatbot_app.py:49 | Successfully loaded tool definitions from MCP Server.
2025-06-03 23:28:23.747 | INFO     | chatbot_app.py:82 | Fixed tool definitions: [{'name': 'search_rooms', 'description': 'Tìm kiếm các phòng trọ có sẵn dựa trên các tiêu chí cụ thể như vị trí, giá cả, tiện ích và môi trường xung quanh.', 'parameters': {'type': 'OBJECT', 'properties': {'street': {'type': 'string', 'description': 'Tên đường của phòng trọ.'}, 'district': {'type': 'string', 'description': 'Quận của phòng trọ.'}, 'city': {'type': 'string', 'description': 'Thành phố của phòng trọ.'}, 'minPrice': {'type': 'number', 'description': 'Giá tối thiểu của phòng trọ.'}, 'maxPrice': {'type': 'number', 'description': 'Giá tối đa của phòng trọ.'}, 'areaRange': {'type': 'string', 'enum': ['UNDER_20', '20_40', '40_60', '60_80', 'OVER_80'], 'description': "Khoảng diện tích phòng trọ. Các giá trị hợp lệ:\n- 'UNDER_20': Dưới 20m²\n- '20_40': Từ 20m² đến 40m²\n- '40_60': Từ 40m² đến 60m²\n- '60_80': Từ 60m² đến 80m²\n- 'OVER_80': Trên 80m²\nNếu không khớp giá trị nào, sẽ không lọc theo diện tích."}, 'roomType': {'type': 'string', 'description': 'Loại phòng trọ.'}, 'amenities': {'type': 'array', 'items': {'type': 'string'}, 'description': 'Danh sách các tiện ích mong muốn.'}, 'environment': {'type': 'array', 'items': {'type': 'string'}, 'description': 'Môi trường xung quanh phòng trọ.'}, 'targetAudience': {'type': 'array', 'items': {'type': 'string'}, 'description': 'Đối tượng mục tiêu của phòng trọ.'}, 'hasVideoReview': {'type': ['boolean', None], 'description': 'Phòng trọ có video review hay không. Nếu không cung cấp, sẽ không lọc theo tiêu chí này.'}}, 'required': []}}]
2025-06-03 23:30:24.821 | WARNING  | chatbot_app.py:38 | MCP_SERVER_BASE_URL is set to default localhost. Ensure this is correct for your deployment.
2025-06-03 23:30:24.821 | INFO     | before.py:40 | Starting call to 'chatbot_app.get_tool_definitions_from_mcp_server', this is the 1st time calling it.
2025-06-03 23:30:24.822 | INFO     | chatbot_app.py:46 | Attempting to load tool definitions from MCP Server at http://localhost:5001/tool_definitions...
2025-06-03 23:30:26.901 | INFO     | chatbot_app.py:49 | Successfully loaded tool definitions from MCP Server.
2025-06-03 23:32:04.434 | WARNING  | chatbot_app.py:38 | MCP_SERVER_BASE_URL is set to default localhost. Ensure this is correct for your deployment.
2025-06-03 23:32:04.434 | INFO     | before.py:40 | Starting call to 'chatbot_app.get_tool_definitions_from_mcp_server', this is the 1st time calling it.
2025-06-03 23:32:04.434 | INFO     | chatbot_app.py:46 | Attempting to load tool definitions from MCP Server at http://localhost:5001/tool_definitions...
2025-06-03 23:32:06.480 | INFO     | chatbot_app.py:49 | Successfully loaded tool definitions from MCP Server.
2025-06-03 23:32:06.482 | INFO     | chatbot_app.py:102 | Fixed tool definitions: [{'name': 'search_rooms', 'description': 'Tìm kiếm các phòng trọ có sẵn dựa trên các tiêu chí cụ thể như vị trí, giá cả, tiện ích và môi trường xung quanh.', 'parameters': {'type': 'OBJECT', 'properties': {'street': {'type': 'STRING', 'description': 'Tên đường của phòng trọ.'}, 'district': {'type': 'STRING', 'description': 'Quận của phòng trọ.'}, 'city': {'type': 'STRING', 'description': 'Thành phố của phòng trọ.'}, 'minPrice': {'type': 'NUMBER', 'description': 'Giá tối thiểu của phòng trọ.'}, 'maxPrice': {'type': 'NUMBER', 'description': 'Giá tối đa của phòng trọ.'}, 'areaRange': {'type': 'STRING', 'enum': ['UNDER_20', '20_40', '40_60', '60_80', 'OVER_80'], 'description': "Khoảng diện tích phòng trọ. Các giá trị hợp lệ:\n- 'UNDER_20': Dưới 20m²\n- '20_40': Từ 20m² đến 40m²\n- '40_60': Từ 40m² đến 60m²\n- '60_80': Từ 60m² đến 80m²\n- 'OVER_80': Trên 80m²\nNếu không khớp giá trị nào, sẽ không lọc theo diện tích."}, 'roomType': {'type': 'STRING', 'description': 'Loại phòng trọ.'}, 'amenities': {'type': 'ARRAY', 'items': {'type': 'STRING'}, 'description': 'Danh sách các tiện ích mong muốn.'}, 'environment': {'type': 'ARRAY', 'items': {'type': 'STRING'}, 'description': 'Môi trường xung quanh phòng trọ.'}, 'targetAudience': {'type': 'ARRAY', 'items': {'type': 'STRING'}, 'description': 'Đối tượng mục tiêu của phòng trọ.'}, 'hasVideoReview': {'type': 'BOOLEAN', 'description': 'Phòng trọ có video review hay không. Nếu không cung cấp, sẽ không lọc theo tiêu chí này.'}}, 'required': []}}]
2025-06-03 23:32:47.106 | WARNING  | chatbot_app.py:40 | MCP_SERVER_BASE_URL is set to default localhost. Ensure this is correct for your deployment.
2025-06-03 23:32:47.107 | INFO     | before.py:40 | Starting call to 'chatbot_app.get_tool_definitions_from_mcp_server', this is the 1st time calling it.
2025-06-03 23:32:47.107 | INFO     | chatbot_app.py:48 | Attempting to load tool definitions from MCP Server at http://localhost:5001/tool_definitions...
2025-06-03 23:32:49.165 | INFO     | chatbot_app.py:51 | Successfully loaded tool definitions from MCP Server.
2025-06-03 23:32:49.165 | INFO     | chatbot_app.py:104 | Fixed tool definitions: [{'name': 'search_rooms', 'description': 'Tìm kiếm các phòng trọ có sẵn dựa trên các tiêu chí cụ thể như vị trí, giá cả, tiện ích và môi trường xung quanh.', 'parameters': {'type': 'OBJECT', 'properties': {'street': {'type': 'STRING', 'description': 'Tên đường của phòng trọ.'}, 'district': {'type': 'STRING', 'description': 'Quận của phòng trọ.'}, 'city': {'type': 'STRING', 'description': 'Thành phố của phòng trọ.'}, 'minPrice': {'type': 'NUMBER', 'description': 'Giá tối thiểu của phòng trọ.'}, 'maxPrice': {'type': 'NUMBER', 'description': 'Giá tối đa của phòng trọ.'}, 'areaRange': {'type': 'STRING', 'enum': ['UNDER_20', '20_40', '40_60', '60_80', 'OVER_80'], 'description': "Khoảng diện tích phòng trọ. Các giá trị hợp lệ:\n- 'UNDER_20': Dưới 20m²\n- '20_40': Từ 20m² đến 40m²\n- '40_60': Từ 40m² đến 60m²\n- '60_80': Từ 60m² đến 80m²\n- 'OVER_80': Trên 80m²\nNếu không khớp giá trị nào, sẽ không lọc theo diện tích."}, 'roomType': {'type': 'STRING', 'description': 'Loại phòng trọ.'}, 'amenities': {'type': 'ARRAY', 'items': {'type': 'STRING'}, 'description': 'Danh sách các tiện ích mong muốn.'}, 'environment': {'type': 'ARRAY', 'items': {'type': 'STRING'}, 'description': 'Môi trường xung quanh phòng trọ.'}, 'targetAudience': {'type': 'ARRAY', 'items': {'type': 'STRING'}, 'description': 'Đối tượng mục tiêu của phòng trọ.'}, 'hasVideoReview': {'type': 'BOOLEAN', 'description': 'Phòng trọ có video review hay không. Nếu không cung cấp, sẽ không lọc theo tiêu chí này.'}}, 'required': []}}]
2025-06-03 23:33:47.223 | WARNING  | chatbot_app.py:42 | MCP_SERVER_BASE_URL is set to default localhost. Ensure this is correct for your deployment.
2025-06-03 23:33:47.224 | INFO     | before.py:40 | Starting call to 'chatbot_app.get_tool_definitions_from_mcp_server', this is the 1st time calling it.
2025-06-03 23:33:47.224 | INFO     | chatbot_app.py:50 | Attempting to load tool definitions from MCP Server at http://localhost:5001/tool_definitions...
