text,label
"Thằng chó chủ nhà, cái chòi.",2
Chuyển khoản trước mới được chuyển khoản.,4
"Phòng gần công viên, giá hợp lý.",0
Phòng thích hợp cho massage riêng tư.,1
"Phòng siêu rẻ, chỉ chuyển khoản/tháng.",4
"Phòng kín đáo, dành cho gương soi.",1
"Chính sách vô trách nhiệm, bóp cổ dân.",3
Liên hệ Zalo để biết thêm về fwb.,1
Phòng thích hợp cho giường lớn riêng tư.,1
"Inbox gấp, phòng 500k sắp hết.",4
Liên hệ Zalo để biết thêm về dịch vụ đặc biệt.,1
"Có dịch vụ đặc biệt, ánh sáng mờ.",1
"Phòng kín đáo, dành cho gương soi.",1
"Thằng chó chủ nhà, khu ổ chuột.",2
độc tài làm đất nước tụt hậu.,3
"Phòng siêu rẻ, chỉ online/tháng.",4
"Chính quyền không ra gì, dân khổ.",3
"Inbox gấp, phòng booking sắp hết.",4
"Địt mẹ cái phòng trọ rẻ tiền, lừa đảo.",2
"Vãi lìn, nhà kho kiểu này.",2
"Con cặc, phòng như cái chòi.",2
"Cho thuê phòng an ninh, đầy đủ tiện nghi.",0
"Có dịch vụ đặc biệt, ánh sáng mờ.",1
"Giao dịch qua chuyển khoản, không gặp mặt.",4
"Có mối quan hệ mở, ánh sáng mờ.",1
"Đmm, phòng như cái khu ổ chuột.",2
"Phòng wifi miễn phí, không chung chủ, giờ giấc tự do.",0
"Phòng có ban công, không chung chủ, giờ giấc tự do.",0
"Có giường lớn, ánh sáng mờ.",1
"Phòng mới xây, không chung chủ, giờ giấc tự do.",0
"Cho thuê phòng tiện nghi, đầy đủ tiện nghi.",0
"Inbox gấp, phòng ví điện tử sắp hết.",4
"Phòng nghỉ trưa, phù hợp FWB.",1
"Đừng tin bỏ mặc dân, toàn hứa lèo.",3
"Chính quyền tham nhũng, dân khổ.",3
Phòng thích hợp cho dịch vụ đặc biệt riêng tư.,1
Phòng thích hợp cho fwb riêng tư.,1
"Inbox gấp, phòng 500k sắp hết.",4
Chuyển khoản trước mới được giữ chỗ.,4
"Không cần xem phòng, chỉ cần 500k.",4
"Phòng mới xây, giá hợp lý.",0
"Không cần xem phòng, chỉ cần ví điện tử.",4
"Phòng nằm ở wifi miễn phí, gần trung tâm.",0
"Chính sách lừa dân, bóp cổ dân.",3
dối trá làm đất nước tụt hậu.,3
"Khu trọ an ninh, yên tĩnh, sạch sẽ.",0
"Giao dịch qua 1k/ngày, không gặp mặt.",4
"Vãi lìn, cái toilet kiểu này.",2
"Phòng kín đáo, dành cho fwb.",1
"Phòng kín đáo, dành cho gương soi.",1
bưng bít làm đất nước tụt hậu.,3
Liên hệ Zalo để biết thêm về đồ chơi.,1
"Vãi lìn, cái toilet kiểu này.",2
"Inbox gấp, phòng chuyển khoản sắp hết.",4
Liên hệ Zalo để biết thêm về giường lớn.,1
"Cho thuê phòng có ban công, đầy đủ tiện nghi.",0
Liên hệ Zalo để biết thêm về người lớn.,1
Phòng thích hợp cho giường lớn riêng tư.,1
"Phòng tiện nghi, giá hợp lý.",0
Phòng thích hợp cho mối quan hệ mở riêng tư.,1
"Nhà nước ngu xuẩn, không hỗ trợ gì.",3
"Đmm, phòng như cái nhà kho.",2
"Giao dịch qua momo, không gặp mặt.",4
Chuyển khoản trước mới được momo.,4
Phòng thích hợp cho cặp đôi riêng tư.,1
"Không cần xem phòng, chỉ cần đặt cọc.",4
"Đừng tin ngu xuẩn, toàn hứa lèo.",3
Liên hệ Zalo để biết thêm về người lớn.,1
Liên hệ Zalo để biết thêm về nghỉ trưa.,1
"Không cần xem phòng, chỉ cần đặt cọc.",4
"Phòng nằm ở sạch sẽ, gần trung tâm.",0
"Không cần xem phòng, chỉ cần giữ chỗ.",4
"Đừng tin bỏ mặc dân, toàn hứa lèo.",3
"Không cần xem phòng, chỉ cần 500k.",4
"Giao dịch qua booking, không gặp mặt.",4
"Phòng nằm ở wifi miễn phí, gần trung tâm.",0
"Không cần xem phòng, chỉ cần đặt cọc.",4
vô trách nhiệm làm đất nước tụt hậu.,3
"Phòng nằm ở mới xây, gần trung tâm.",0
"Có đồ chơi, ánh sáng mờ.",1
"Phòng nằm ở có ban công, gần trung tâm.",0
"Phòng nằm ở gần công viên, gần trung tâm.",0
Chuyển khoản trước mới được momo.,4
"Giao dịch qua 1k/ngày, không gặp mặt.",4
"Phòng kín đáo, dành cho fwb.",1
"Chính sách bưng bít, bóp cổ dân.",3
"Không cần xem phòng, chỉ cần momo.",4
"Giao dịch qua chuyển khoản, không gặp mặt.",4
"Địt mẹ cái bãi rác, lừa đảo.",2
Phòng thích hợp cho người lớn riêng tư.,1
"Phòng nằm ở gần trường, gần trung tâm.",0
"Chính sách độc tài, bóp cổ dân.",3
"Cho thuê phòng thoáng mát, đầy đủ tiện nghi.",0
Phòng thích hợp cho massage riêng tư.,1
Phòng thích hợp cho giường lớn riêng tư.,1
Chuyển khoản trước mới được online.,4
"Cho thuê phòng tiện nghi, đầy đủ tiện nghi.",0
"Inbox gấp, phòng giữ chỗ sắp hết.",4
"Khu trọ gần trường, yên tĩnh, sạch sẽ.",0
"Vãi lìn, bãi rác kiểu này.",2
"Phòng nghỉ trưa, phù hợp FWB.",1
